scientific_name,protein_percentage,source,reference,method
Impatiens glandulifera,25.285,floral,"Drossart et al., 2017",ion exchange chromatograph
Buddleja davidii,27.394,floral,"Drossart et al., 2017",ion exchange chromatograph
Calluna vulgaris,29,floral,"Drossart et al., 2017",ion exchange chromatograph
Lythrum salicaria,31.523,floral,"Drossart et al., 2017",ion exchange chromatograph
Trifolium pratense,40.339,floral,"Drossart et al., 2017",ion exchange chromatograph
Impatiens glandulifera,14.931,bee,"Drossart et al., 2017",ion exchange chromatograph
Buddleja davidii,15.172,bee,"Drossart et al., 2017",ion exchange chromatograph
Calluna vulgaris,19.333,bee,"Drossart et al., 2017",ion exchange chromatograph
Lythrum salicaria,14.403,bee,"Drossart et al., 2017",ion exchange chromatograph
Trifolium pratense,18.449,bee,"Drossart et al., 2017",ion exchange chromatograph
Centaurea jacea (n=3),24.75 (3.38),floral,"Roger et al., 2017",ion exchange chromatograph
Impatiens glandulifera (n=3),25.28 (5.29),floral,"Roger et al., 2017",ion exchange chromatograph
Echium vulgare (n=3),35.43 (2.37),floral,"Roger et al., 2017",ion exchange chromatograph
Symphytum officinale (n=2),50.39 (0.86),floral,"Roger et al., 2017",ion exchange chromatograph
Borago officinalis (n=3),49.17 (6.33),floral,"Roger et al., 2017",ion exchange chromatograph
Brassica napus (n=3),33.56 (3.02),floral,"Roger et al., 2017",ion exchange chromatograph
Buddleja davidii (n=6),34.36 (7.87),floral,"Roger et al., 2017",ion exchange chromatograph
Campanula trachelium (n=3),30.74 (1.73),floral,"Roger et al., 2017",ion exchange chromatograph
Calluna vulgaris (n=3),29.00 (0.25),floral,"Roger et al., 2017",ion exchange chromatograph
Rhododendron ponticum (n=3),42.41 (0.85),floral,"Roger et al., 2017",ion exchange chromatograph
Vaccinium myrtillus (n=3),32.41 (0.24),floral,"Roger et al., 2017",ion exchange chromatograph
Lotus corniculatus (n=3),37.22 (3.63),floral,"Roger et al., 2017",ion exchange chromatograph
Trifolium pratense (n=3),40.34 (2.95),floral,"Roger et al., 2017",ion exchange chromatograph
Trifolium repens (n=3),41.42 (2.82),floral,"Roger et al., 2017",ion exchange chromatograph
Hypericum perforatum (n=3),43.49 (1.63),floral,"Roger et al., 2017",ion exchange chromatograph
Lamium album (n=2),48.28 (0.62),floral,"Roger et al., 2017",ion exchange chromatograph
Lythrum salicaria (n=3),31.52 (1.05),floral,"Roger et al., 2017",ion exchange chromatograph
Chelidonium majus (n=3),46.93 (2.49),floral,"Roger et al., 2017",ion exchange chromatograph
Papaver rhoeas (n=3),43.92 (8.06),floral,"Roger et al., 2017",ion exchange chromatograph
Filipendula ulmaria (n=3),28.42 (1.24),floral,"Roger et al., 2017",ion exchange chromatograph
Malus pumila (n=6),19.98 (2.10),floral,"Roger et al., 2017",ion exchange chromatograph
Prunus cerasius (n=3),20.67 (0.21),floral,"Roger et al., 2017",ion exchange chromatograph
Pyrus communis (n=6),35.43 (1.79),floral,"Roger et al., 2017",ion exchange chromatograph
Rubus sp. (n=3),36.14 (6.39),floral,"Roger et al., 2017",ion exchange chromatograph
Salix caprea (n=3),35.14 (3.56),floral,"Roger et al., 2017",ion exchange chromatograph