number,family,genus,species,sci_name,crude_protein[%],type,europe,north_america,south_america,africa,asia,australia,citation
80,Cistaceae,Cistus,spp.,Cistus spp.,14.4,wild,NA,NA,NA,NA,NA,NA,"Tasei, J. N., & Aupinel, P. (2008). Nutritive value of 15 single pollens and pollen mixes tested on larvae produced by bumblebee workers (Bombus terrestris, Hymenoptera: Apidae). Apidologie, 39(4), 397-409."
81,Cistaceae,Cistus,spp.,Cistus spp.,18.5,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
82,Bixaceae,Cochlospermum,vitifolium,Cochlospermum vitifolium,53.8,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
83,Cornaceae,Cornus,sanguinea,Cornus sanguinea,17.9,wild,yes,yes,NA,NA,yes,NA,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
84,Cornaceae,Cornus,sp.,Cornus sp.,26.2,wild,yes,yes,NA,NA,yes,NA,"Odoux, J. F., Feuillet, D., Aupinel, P., Loublier, Y., Tasei, J. N., & Mateescu, C. (2012). Territorial biodiversity and consequences on physico-chemical characteristics of pollen collected by honey bee colonies. Apidologie, 43(5), 561-575."
85,Cornaceae,Cornus,spp.,Cornus spp.,19.3,wild,yes,NA,NA,NA,NA,NA,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
86,Betulaceae,Corylus,avellana,Corylus avellana,30.2,crop,yes,yes,NA,NA,yes,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
87,Betulaceae,Corylus,avellana,Corylus avellana,15.8,crop,yes,yes,NA,NA,yes,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
88,Myrtaceae,Corymbia,gummifera,Corymbia gummifera,26.9,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
89,Myrtaceae,Corymbia,maculata,Corymbia maculata,28.5,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
90,Myrtaceae,Corymbia,maculata,Corymbia maculata,33.3,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. ( (citing Kleinschmidt and Kondos 1976 mean of given values))"
91,Myrtaceae,Corymbia,maculata,Corymbia maculata,27.8,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
92,Zingiberaceae,Costus,laevis,Costus laevis,27.2,weed,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
93,Rosaceae,Crataegus,sp.,Crataegus sp.,28.2,wild,yes,yes,yes,yes,yes,yes,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
94,Fabaceae,Crotalaria,retusa,Crotalaria retusa,52.7,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
95,Fabaceae,Crotalaria,sagittalis,Crotalaria sagittalis,51,weed,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
96,Cucurbitaceae,Cucurbita,foetidissima,Cucurbita foetidissima,39.1,crop,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
97,Cucurbitaceae,Cucurbita,pepo,Cucurbita pepo,38.2,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
98,Cactaceae,Cylindropuntia,acanthocarpa,Cylindropuntia acanthocarpa,24.9,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
99,Apiaceae,Daucus,sp.,Daucus sp.,19.2,weed,yes,yes,yes,yes,yes,yes,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
100,Zingiberaceae,Dimerocostus,strobilaceus,Dimerocostus strobilaceus,21.3,weed,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
101,Cactaceae,Echinocereus,engelmanii,Echinocereus engelmanii,33.7,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
102,Boraginaceae,Echium,plantagineum,Echium plantagineum,33,weed,yes,yes,NA,yes,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
103,Boraginaceae,Echium,plantagineum,Echium plantagineum,35.2,weed,yes,yes,NA,yes,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
104,Boraginaceae,Echium,plantagineum,Echium plantagineum,32.1,weed,yes,yes,NA,yes,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
105,Boraginaceae,Echium,plantagineum,Echium plantagineum,31.4,weed,yes,yes,NA,yes,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
106,Boraginaceae,Echium,vulgare,Echium vulgare,34.9,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
107,Papaveraceae,Eschscholzia,californica,Eschscholzia californica,43.1,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
108,Myrtaceae,Eucalyptus,albens,Eucalyptus albens,22.5,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
109,Myrtaceae,Eucalyptus,albens,Eucalyptus albens,22.5,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. ( (citing Kleinschmidt and Kondos 1976 mean of given values))"
110,Myrtaceae,Eucalyptus,albens,Eucalyptus albens,18.4,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
111,Myrtaceae,Eucalyptus,blakelyi,Eucalyptus blakelyi,28.8,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
112,Myrtaceae,Eucalyptus,blakelyi,Eucalyptus blakelyi,24.3,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
113,Myrtaceae,Eucalyptus,blakelyi,Eucalyptus blakelyi,24.6,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
114,Myrtaceae,Eucalyptus,bridgesiana,Eucalyptus bridgesiana,23.8,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
115,Myrtaceae,Eucalyptus,camaldulensis,Eucalyptus camaldulensis,24.1,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
116,Myrtaceae,Eucalyptus,camaldulensis,Eucalyptus camaldulensis,25.8,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. ( (citing Kleinschmidt and Kondos 1976 mean of given values))"
117,Myrtaceae,Eucalyptus,camaldulensis,Eucalyptus camaldulensis,26.5,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
118,Myrtaceae,Eucalyptus,camaldulensis,Eucalyptus camaldulensis,21.9,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
119,Myrtaceae,Eucalyptus,delegatensis,Eucalyptus delegatensis,23,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
120,Myrtaceae,Eucalyptus,dumosa,Eucalyptus dumosa,21.4,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
121,Myrtaceae,Eucalyptus,dumosa,Eucalyptus dumosa,24.8,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
122,Myrtaceae,Eucalyptus,fibrosa,Eucalyptus fibrosa,20.5,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
123,Myrtaceae,Eucalyptus,globoidea,Eucalyptus globoidea,29.4,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
124,Myrtaceae,Eucalyptus,globulus,Eucalyptus globulus,37.8,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
125,Myrtaceae,Eucalyptus,longifolia,Eucalyptus longifolia,25.2,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
126,Myrtaceae,Eucalyptus,macrorhyncha,Eucalyptus macrorhyncha,24.9,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
127,Myrtaceae,Eucalyptus,macrorhyncha,Eucalyptus macrorhyncha,30,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
128,Myrtaceae,Eucalyptus,macrorhyncha,Eucalyptus macrorhyncha,23.4,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
129,Myrtaceae,Eucalyptus,macrorhyncha,Eucalyptus macrorhyncha,23.3,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
130,Myrtaceae,Eucalyptus,mannifera,Eucalyptus mannifera,26.2,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
131,Myrtaceae,Eucalyptus,microcarpa,Eucalyptus microcarpa,23.6,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
132,Myrtaceae,Eucalyptus,microcarpa,Eucalyptus microcarpa,25,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. ( (citing Kleinschmidt and Kondos 1976 mean of given values))"
133,Myrtaceae,Eucalyptus,microcarpa,Eucalyptus microcarpa,23.3,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
134,Myrtaceae,Eucalyptus,microcarpa,Eucalyptus microcarpa,25,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
135,Myrtaceae,Eucalyptus,polyanthemos,Eucalyptus polyanthemos,22.4,crop,NA,yes,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
136,Myrtaceae,Eucalyptus,punctata,Eucalyptus punctata,27.3,wild,NA,NA,NA,NA,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
137,Myrtaceae,Eucalyptus,robusta,Eucalyptus robusta,22.6,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
138,Myrtaceae,Eucalyptus,sclerophylla,Eucalyptus sclerophylla,29.7,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
139,Myrtaceae,Eucalyptus,socialis,Eucalyptus socialis,26.6,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
140,Myrtaceae,Eucalyptus,spp.,Eucalyptus spp.,23.8,wild,NA,NA,NA,NA,NA,NA,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
141,Myrtaceae,Eucalyptus,viminalis,Eucalyptus viminalis,23.7,crop,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
142,Myrtaceae,Eucalyptus,viminalis,Eucalyptus viminalis,21.3,crop,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
143,Myrtaceae,Eucaplyptus,saligna,Eucaplyptus saligna,27.6,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
144,Polygonaceae,Fagopyrum,esculentum,Fagopyrum esculentum,11.4,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
145,Polygonaceae,Fagopyrum,esculentum,Fagopyrum esculentum,16.3,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
146,Fouquieriaceae,Fouquieria,splendens,Fouquieria splendens,46.9,wild,yes,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
147,Rosaceae,Fragaria,spp.,Fragaria spp.,21.6,crop,yes,yes,yes,yes,yes,yes,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
148,Rosaceae,Fragaria,spp.,Fragaria spp.,21.8,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
149,Oleaceae,Fraxinus,spp.,Fraxinus spp.,23.1,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
150,Gelsemiaceae,Gelsemium,sempervirens,Gelsemium sempervirens,42.3,wild,NA,yes,NA,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
151,Rubiaceae,Genipa,americana,Genipa americana,40.8,crop,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
152,Malvaceae,Gossypium,thurberi,Gossypium thurberi,21.1,wild,NA,yes,NA,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
