Species,Protein (%),Analysis Technique,Pollinator,Bees Collected?,Style Length (mm),Pollen Volume (x10^-6 cm³),Reference,Group,Family (Order)
Equisetum arvense,35.6,M,,,,,,Pteridophyta,Equisetaceae
Lycopodium clavatum,8.3,M,,,,,,Pteridophyta,Lycopodiaceae
Cupressus arizonica,2.3,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Cupressus macrocarpa,6.6,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus californica,9,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus communis,8.8,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus deppeana,5.1,B,wind,,8.4,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus monosperma,8.9,M,wind,,4.2,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus osteosperma,8.5,M,wind,,3.7,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus scopulorum,8.7,M,wind,,5.4,,,Gymnospermae,Cupressaceae (Pinopsida)
Thuja occidentalis,9.8,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Abies grandis,24.1,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Cedrus deodara,13.3,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Picea abies,20.9,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus contorta,13,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus coulteri,9.25,M,wind,,,,,Gymnospermae,Pinaceae (Pinopsida)
Pinus halepensis,14.7,M,wind,,,,,Gymnospermae,Pinaceae (Pinopsida)
Pinus edulis,16.3,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus mugo,13.7,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus ponderosa,11.7,M,wind,,,21.2,,Gymnospermae,Pinaceae (Pinopsida)
Pinus radiata,13.5,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus sabiniana,11.4,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus sylvestris,15.7,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus taeda,15.9,B,wind,,,87.3,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Sequoia sempervirens,7.9,M,wind,,,,Page (1990b),Gymnospermae,Taxodiaceae (Pinopsida)
Ceratozamia mexicana,44.3,B,,,11,,,Gymnospermae,Zamiaceae (Cycadopsida)
Dioon califanoi,31,B,,,7.4,,,Gymnospermae,Zamiaceae (Cycadopsida)
Encephalartos gratus,44.9,B,ins?,,4.6,,,Gymnospermae,Zamiaceae (Cycadopsida)
Ephedra trifurca,34.5,B,wind,1,9.1,,Buchmann et al. (1989),Gymnospermae,Ephedraceae (Gnetopsida)
Welwitschia mirabilis,53.6,C,ins,,,,Kubitzki (1990),Gymnospermae,Welwitchiaceae (Gnetopsida)
Aphelandra sinclairiana,57.3,B,hum,,56.9,32.5,McDade (1992),Angiospermae (Dicot),Acanthaceae (Scrophulariales)
Justicia graciliflora,36.1,B,hum,,50.3,56,,Angiospermae (Dicot),Acanthaceae (Scrophulariales)
Justicia secunda,36.2,B,hum,,41.1,24,Linhart and Feinsinger (1980),Angiospermae (Dicot),Acanthaceae (Scrophulariales)
Acer macrophyllum,46.2,M,,,,21,,Angiospermae (Dicot),Aceraceae (Sapindales)
Acer rubrum,39.4,B,bee/wind,1,3.6,14.7,Batra (1985),Angiospermae (Dicot),Aceraceae (Sapindales)
Actinidia deliciosa,42.2,,bee,1,,,Clark and Lintas (1992),Angiospermae (Dicot),Actinidiaceae (Ericales)
Faucaria longifolia,43.7,B,,,,5.4,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Mesembryanthemum dolabriforme,30.5,B,,,,2.6,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Delosperma nelii,32.1,B,,,,2.8,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Vanheerdia divergens,36.4,B,,,,4.9,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Amaranthus hybridus,23.4,M,,,,7.5,,Angiospermae (Dicot),Amaranthaceae (Caryophyllales)
Amaranthus palmeri,23.2,M,wind,,,,Cane et al. (1992),Angiospermae (Dicot),Amaranthaceae (Caryophyllales)
Amaranthus tuberculatus,27.4,M,,,,5,,Angiospermae (Dicot),Amaranthaceae (Caryophyllales)
Malosma laurina,12.7,B,,,,5.4,,Angiospermae (Dicot),Anacardiaceae (Sapindales)
Pistacia vera,33.4,M,wind,1*,10.9,,"Crane and Walker (1984), Niklas and Buchmann (1988)",Angiospermae (Dicot),Anacardiaceae (Sapindales)
Schinus molle,39.4,M,,1*,4.7,,Eisikowitch and Masad (1982),Angiospermae (Dicot),Anacardiaceae (Sapindales)
Spondias mombin,30.2,B,bee,1,0.8,21.5,Roubik (1995),Angiospermae (Dicot),Anacardiaceae (Sapindales)
Anthriscus sylvestris,29,M,bee/fly,1,,,Müller (1883),Angiospermae (Dicot),Apiaceae (Apiales)
Allamanda cathartica,24.2,B,,,40.3,581.7,,Angiospermae (Dicot),Apocynaceae (Gentianales)
Stemmadenia grandiflora,41.1,B,bee,,19.6,26.2,Frankie et al. (1983),Angiospermae (Dicot),Apocynaceae (Gentianales)
Thevetia ahouai,28.6,B,bee,,33.2,500.1,Frankie et al. (1983),Angiospermae (Dicot),Apocynaceae (Gentianales)
Asclepias curassivica,16.4,B,but,,3.2,94.4,Croat (1978),Angiospermae (Dicot),Asclepiadaceae (Gentianales)
Ambrosia ambrosoides,22.9,B,,,,8.4,,Angiospermae (Dicot),Asteraceae (Asterales)
Ambrosia artemesiifolia,25.8,B,wind,,0.8,3.1,Lundholm and Aarssen (1994),Angiospermae (Dicot),Asteraceae (Asterales)
Ambrosia chamissonis,26.7,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Ambrosia deltoidea,23,M,,,,6,,Angiospermae (Dicot),Asteraceae (Asterales)
Ambrosia dumosa,22.5,M,wind,,,5.6,Colin and Jones (1980),Angiospermae (Dicot),Asteraceae (Asterales)
Ambrosia psilostachya,23.2,M,wind,,,,Bassett and Crompton (1975),Angiospermae (Dicot),Asteraceae (Asterales)
Ambrosia tenuifolia,23.8,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Ambrosia trifida,30,M,wind,1*,,,"Robertson (1929), Colin and Jones (1980)",Angiospermae (Dicot),Asteraceae (Asterales)
Anthemis arvensis,17.5,M,,1,,,Müller (1883),Angiospermae (Dicot),Asteraceae (Asterales)
Anthemis cotula,27.7,M,wind,1,,,"Robertson (1929), Colin and Jones (1980)",Angiospermae (Dicot),Asteraceae (Asterales)
Artemisia californica,23.4,M,wind,,,,Moldenke (1976),Angiospermae (Dicot),Asteraceae (Asterales)
Artemisia campestris,17.3,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Artemisia heterophylla,23.2,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Artemisia vulgaris,19.5,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Centaurea cyanus,26.2,M,bee,1,,,"Müller (1883), Svensson and Wigren (1985)",Angiospermae (Dicot),Asteraceae (Asterales)
Centaurea solstitialis,25.3,M,bee,1*,,,"Gary (1975), Harrod and Taylor (1995)",Angiospermae (Dicot),Asteraceae (Asterales)
Chrysanthemum segetum,18.2,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Chrysothamnus nauseosus,30.8,M,bee,1,,,Moldenke (1976),Angiospermae (Dicot),Asteraceae (Asterales)
Cirsium neomexicanum,28.3,B,bee,1,,27.2,Harder (1983),Angiospermae (Dicot),Asteraceae (Asterales)
Dicoria canescens,22.8,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Gutierrizia microcephala,22.8,M,,,,5,,Angiospermae (Dicot),Asteraceae (Asterales)
Helianthus annuus,30.6,B/M,bee,1,9.4,14.1,Hurd et al. (1980),Angiospermae (Dicot),Asteraceae (Asterales)
Hymenoclea monogrya,24.2,M,,,,6,,Angiospermae (Dicot),Asteraceae (Asterales)
Hymenoclea salsola,26.3,M,wind,,,,Colin and Jones (1980),Angiospermae (Dicot),Asteraceae (Asterales)
Iva annua var. annua,25.3,M,,,,5.2,,Angiospermae (Dicot),Asteraceae (Asterales)
Iva axillaris,28.9,M,wind,,,,Colin and Jones (1980),Angiospermae (Dicot),Asteraceae (Asterales)
Leucanthemum vulgare,28,M,bee,1,,,Ginsberg (1984),Angiospermae (Dicot),Asteraceae (Asterales)
Matricaria perforata,15,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Silybum marianum,34.3,M,,,,,,Angiospermae (Dicot),Asteraceae (Asterales)
Tanacetum vulgare,11.7,M,bee?,1,,,Müller (1883),Angiospermae (Dicot),Asteraceae (Asterales)
Taraxacum officinale vulgare,19.2,M,,,,7.3,,Angiospermae (Dicot),Asteraceae (Asterales)
Wulffia baccata,25.8,B,,,4.3,8.7,,Angiospermae (Dicot),Asteraceae (Asterales)
Xanthium spinosum,34.3,M,,1*,6,,du Toit (1988),Angiospermae (Dicot),Asteraceae (Asterales)
Alnus glutinosa,24.2,M,wind,,,,Proctor et al. (1996),Angiospermae (Dicot),Betulaceae (Fagales)
Alnus incana,23.5,M,,,,,,Angiospermae (Dicot),Betulaceae (Fagales)
Alnus rubra,22.1,M,wind,,,,Tsukada (1982),Angiospermae (Dicot),Betulaceae (Fagales)
Alnus sp.,30.2,C,wind,,,3.9,,Angiospermae (Dicot),Betulaceae (Fagales)
Alnus viridis,29.4,M,wind,,0.8,,,Angiospermae (Dicot),Betulaceae (Fagales)
Betula lenta,28.3,M,wind,,,3.2,,Angiospermae (Dicot),Betulaceae (Fagales)
Betula pendula,28.8,M,wind,,,,,Angiospermae (Dicot),Betulaceae (Fagales)
Corylus avellana,30.2,M,wind,1*,6.7,14,"Müller (1883), Proctor et al. (1996)",Angiospermae (Dicot),Betulaceae (Fagales)
Corylus cornuta californica,27.7,M,,,,,,Angiospermae (Dicot),Betulaceae (Fagales)
Ostrya virginiana,26.8,B,wind,,3.7,9.7,,Angiospermae (Dicot),Betulaceae (Fagales)
Anemopaegna sp.,40.5,B,,,,,,Angiospermae (Dicot),Bignoniaceae (Scrophulariales)
Campsis radicans,36.9,B,hum,1,53.4,10.6,Bertin (1982),Angiospermae (Dicot),Bignoniaceae (Scrophulariales)
Catalpa speciosa,37.8,B,bee/moth,,22.9,0.9,Stephenson and Thomas (1977),Angiospermae (Dicot),Bignoniaceae (Scrophulariales)
Chilopsis linearis,36.6,B,bee,,21.7,22.4,Brown et al. (1981),Angiospermae (Dicot),Bignoniaceae (Scrophulariales)
Clystostoma binatum,43.9,B,,,35.1,65.4,,Angiospermae (Dicot),Bignoniaceae (Scrophulariales)
Tabebuia guayacan,43.9,B,bee,,31.8,4.3,,Angiospermae (Dicot),Bignoniaceae (Scrophulariales)
Tabebuia rosea,40.1,B,bee,,24.6,,Frankie et al. (1983),Angiospermae (Dicot),Bignoniaceae (Scrophulariales)
Amorexia palmatifida,51.7,C,bee,1,,,Buchmann (1983),Angiospermae (Dicot),Bixaceae (Malvales)
Cochlospermum vitifolium,53.8,C,bee,1,25.6,2.1,Snow and Roubik (1987),Angiospermae (Dicot),Bixaceae (Malvales)
Bombacopsis quinata,50.3,B,bat/bird/bee,,95.2,4.4,Roubik (1995),Angiospermae (Dicot),Bombacaceae (Malvales)
Ceiba sp.,30.2,B,bat?,,26.4,,,Angiospermae (Dicot),Bombacaceae (Malvales)
Chorisia speciosa,33.2,C,,,29.3,,,Angiospermae (Dicot),Bombacaceae (Malvales)
Ochroma pyramidale,41.7,C,bat,,168.2,,Jaeger (1974),Angiospermae (Dicot),Bombacaceae (Malvales)
Pachira aquatica,54.2,B,bat/moth,,246.8,58,Roubik (1995),Angiospermae (Dicot),Bombacaceae (Malvales)
Pseudobombax septanatum,48.2,C,bat,,82.6,24.8,Eguiarte and del Rio (1987),Angiospermae (Dicot),Bombacaceae (Malvales)
Brassica napus,31.9,M,bee,1*,,,Rayner and Langridge (1985),Angiospermae (Dicot),Brassicaceae (Capparales)
Brassica nigra,33.6,M,bee/fly,1,3.3,2.1,Conner and Neumeier (1995),Angiospermae (Dicot),Brassicaceae (Capparales)
Brassica rapa var. rapa,44.1,M,bee,,5.8,5.98,Singh and Singh (1992),Angiospermae (Dicot),Brassicaceae (Capparales)
Sinapis arvensis,33.8,M,bee/fly/but,1,7,,"Müller (1883), Kunin (1993)",Angiospermae (Dicot),Brassicaceae (Capparales)
Buxus sempervirens,29.5,M,,,,2.6,Free (1993),Angiospermae (Dicot),Buxaceae (Buxales)
Carnegiea gigantea,37.8,B,bee/bat,1,85,95.8,Schmidt and Buchmann (1986),Angiospermae (Dicot),Cactaceae (Caryophyllales)
Cereus sp.,31.3,B,,,,,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Echinocereus engelmanii,33.7,B,bee,1,44.3,130.9,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Opuntia acanthocarpa,24.9,B,bee,1,32.5,427.8,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Opuntia arbuscula,28.8,B,bee,1,22.2,414.2,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Opuntia echios,17.3,M,bee,1,,,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Opuntia ficus-indica,25.5,B,bee,1,,614.5,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Opuntia phaecantha,22.2,B,bee,1,31.3,706.1,Osborn et al. (1988),Angiospermae (Dicot),Cactaceae (Caryophyllales)
Opuntia santa-rita,28.7,B,bee,1,39.3,434.7,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Opuntia versicolor,28,B,bee,1,27.1,,,Angiospermae (Dicot),Cactaceae (Caryophyllales)
Pachycereus pringlei,36.8,B,bat,,134,,Fleming et al. (1994),Angiospermae (Dicot),Cactaceae (Caryophyllales)
Centropogon coccineus,51,B,hum,,41.3,12.9,Stein (1992),Angiospermae (Dicot),Campanulaceae (Asterales)
Centropogon panamensis,53.4,B,hum,,15.2,,Stein (1992),Angiospermae (Dicot),Campanulaceae (Asterales)
Hippobroma longiflora,51,B,sph,,102.9,,Feinsinger and Swarm (1978),Angiospermae (Dicot),Campanulaceae (Asterales)
Lobelia siphilitica,47.9,C,bee,1,,,"Robertson (1929), Johnston (1991)",Angiospermae (Dicot),Campanulaceae (Asterales)
Lobelia cardinalis propinqua,55,M,hum,,25.3,,"Müller (1883), Johnston (1991)",Angiospermae (Dicot),Campanulaceae (Asterales)
Cannabis sativa,31.8,M,wind,,8.9,7.1,Colin and Jones (1980),Angiospermae (Dicot),Cannabaceae (Urticales)
Sambucus caerulea var. caerulea,46.3,M,,,1.9,,,Angiospermae (Dicot),Caprifoliaceae (Dipsacales)
Sambucus nigra,37.5,M,ins,1*,,,"Ortiz-de-Boada and Cogua (1989), Proctor et al. (1996)",Angiospermae (Dicot),Caprifoliaceae (Dipsacales)
Allenrolfea occidentalis,24.9,M,,,,5.4,,Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Atriplex canescens,20.1,M,wind,,6.8,,Blackwell and Powell (1981),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Atriplex confertifolia,29.8,M,wind,,,,Colin and Jones (1980),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Atriplex lentiformis,25.3,M,,,,,,Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Atriplex patula,17.1,M,self?,,,,Proctor et al. (1996),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Beta vulgaris,24.2,M,bee/thrips/wind,,,,"Roubik (1995), Proctor et al. (1996)",Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Chenopodium album,28,M,wind,,10.9,,Müller (1883),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Chenopodium fremontii,22.5,M,,,,,,Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Kochia scoparia,19.3,M,bee,,,,Blackwell and Powell (1981),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Salsola kali,31.3,M,bee/wasp,,,,Blackwell and Powell (1981),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Sarcocornia perennis,28.3,M,,,,,,Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Sarcobatus vermiculatus,30.8,M,wind,,,,Blackwell and Powell (1981),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Suaeda sp.,23,M,ins,,,,Blackwell and Powell (1981),Angiospermae (Dicot),Chenopodiaceae (Caryophyllales)
Hypericum perforatum,30.3,M,bee,1,4.5,3.49,Macior (1993),Angiospermae (Dicot),Clusiaceae (Guttiferales)
Bonamia sp.,34.1,B,,,28.5,,,Angiospermae (Dicot),Convolvulaceae (Solanales)
Ipomoea squamosa,26.8,B,bee,1,26.1,130.9,,Angiospermae (Dicot),Convolvulaceae (Solanales)
Ipomoea tiliacea,30.1,B,bee,1,41.3,253.2,,Angiospermae (Dicot),Convolvulaceae (Solanales)
Merremia umbellata,38.1,B,,,20.3,166,,Angiospermae (Dicot),Convolvulaceae (Solanales)
Crossosoma sp.,36.8,B,,,,1.9,,Angiospermae (Dicot),Crossosomataceae (Rosales)
Cucurbita foetidissima,39.1,B,bee,1,49.3,614.5,Ordway et al. (1987),Angiospermae (Dicot),Cucurbitaceae (Violales)
Cucurbita pepo,38.2,C,bee,1,,775.3,Hurd et al. (1971),Angiospermae (Dicot),Cucurbitaceae (Violales)
Chimaphila umbellata,29.4,C,bee,1,,,Knudsen and Olesen (1993),Angiospermae (Dicot),Ericaceae (Ericales)
Vaccinium ashei,43,B,bee,1,9,,Cane and Payne (1988),Angiospermae (Dicot),Ericaceae (Ericales)
Ricinus communis,42.5,M,wind,1*,7.3,15.2,,Angiospermae (Dicot),Euphorbiaceae (Euphorbiales)
Caesalpinia sp.,34.2,B,but,,,302.5,Cruden and Hermann-Parker (1979),Angiospermae (Dicot),Fabaceae (Fabales)
Cercis canadensis,40,B,bee,1,7.2,4.4,Robertson (1929),Angiospermae (Dicot),Fabaceae (Fabales)
Crotalaria retusa,52.7,B,bee,1,18.3,8.2,Free (1993),Angiospermae (Dicot),Fabaceae (Fabales)
Crotalaria sagittalis,51,B,bee,,8,8.2,Robertson (1929),Angiospermae (Dicot),Fabaceae (Fabales)
Erythrina fusca,47.1,B,bird,,35.6,22.4,Feinsinger and Swarm (1978),Angiospermae (Dicot),Fabaceae (Fabales)
Erythrina gibbosa,41.7,B,hum,,48.7,20.6,,Angiospermae (Dicot),Fabaceae (Fabales)
Lonchocarpus oliganthus,48.1,B,bee,1,8.4,,,Angiospermae (Dicot),Fabaceae (Fabales)
Olneya tesota,44.4,B,bee,1,10.8,8.2,,Angiospermae (Dicot),Fabaceae (Fabales)
Parkinsonia aculeata,33.4,B,bee,1,9.1,9,,Angiospermae (Dicot),Fabaceae (Fabales)
Parkinsonia microphylla,46.2,B,bee,1,7.2,5.3,Jones (1977),Angiospermae (Dicot),Fabaceae (Fabales)
Prosopis velutina,39,B,bee,1,3.9,14,Keys et al. (1995),Angiospermae (Dicot),Fabaceae (Fabales)
Pueraria montana lobata,48.8,B,bee,1,14.56,8,Mangum and Brooks (1997),Angiospermae (Dicot),Fabaceae (Fabales)
Senna covesii,42.8,C,bee,1,,,,Angiospermae (Dicot),Fabaceae (Fabales)
Senna fruticosa,49.4,B,bee,1,13.3,23.4,Gottsberger and Silberbauer-Gottsberger (1988),Angiospermae (Dicot),Fabaceae (Fabales)
Senna obtusifolia,45.8,B,bee,1,14.96,17.2,,Angiospermae (Dicot),Fabaceae (Fabales)
Senna occidentalis,33.5,B,bee,1,11.9,21.9,,Angiospermae (Dicot),Fabaceae (Fabales)
Senna reticulata,51.6,B,bee,1,22.3,10.2,Snow and Roubik (1987),Angiospermae (Dicot),Fabaceae (Fabales)
Swainsona formosa,57.4,B,,,2.4,,,Angiospermae (Dicot),Fabaceae (Fabales)
Trifolium hybridum,13.7,M,bee,1,,,Horne (1995),Angiospermae (Dicot),Fabaceae (Fabales)
Trifolium pratense,32.2,M,bee,1,,,Schmid-Hempel and Stauffer (1998),Angiospermae (Dicot),Fabaceae (Fabales)
Trifolium repens,35.4,M,bee,1,6.1,4.3,Robertson (1929),Angiospermae (Dicot),Fabaceae (Fabales)
Trifolium sp.,31.1,M,bee,1,,,,Angiospermae (Dicot),Fabaceae (Fabales)
Vicia grandiflora,42.8,B,bee,1,18,9.1,,Angiospermae (Dicot),Fabaceae (Fabales)
Fagus sylvatica,17.4,M,wind,1,,,Chambers (1945),Angiospermae (Dicot),Fagaceae (Fagales)
Quercus alba,38.6,B,wind,1,16.8,,Colin and Jones (1980),Angiospermae (Dicot),Fagaceae (Fagales)
Quercus arizonica,32.5,M,wind,,,,,Angiospermae (Dicot),Fagaceae (Fagales)
Quercus kelloggii,37.1,M,wind,1,,,McCarthy and Quinn (1990),Angiospermae (Dicot),Fagaceae (Fagales)
Quercus michauxii,38.5,C,wind,1,11.6,,,Angiospermae (Dicot),Fagaceae (Fagales)
Quercus nigra,41.5,C,wind,1,2.1,5.9,,Angiospermae (Dicot),Fagaceae (Fagales)
Quercus robur,30.6,M,wind,1,,5.63,,Angiospermae (Dicot),Fagaceae (Fagales)
