Pollen_sample,Pollen_name,Pollen_species,Plant_type,Plant_family,Quantity_g,Year,Country_origin,Locality_origin,Period_sampling,Source,Moisture_%,Ashes_%,pH,Lipids_Loveridge_g100g,Lipids_Folch_g100g,Proteins_g100g,Carbohydrates_g100g,Minerals_Mg_mgKg,Minerals_Zn_mgKg,Minerals_Fe_mgKg,Minerals_Ca_mgKg,Minerals_P_mgKg,Minerals_Mn_mgKg,Minerals_K_mgKg,Minerals_Na_mgKg,Minerals_Cu_mgKg,Minerals_Ba_mgKg,Minerals_B_mgKg,Minerals_Al_mgKg,VitC_Ascorbic_acid_µgg,VitA_Retinol_µgg,VitB1_Thiamine_µgg,VitB2_Riboflavin_µgg,VitB3_Nicotinic_acid_µgg,VitB3_Nicotinamide_µgg,VitB3_total_µgg,VitB6_Pyridoxine_µgg,VitB9_Folic_Acid_µgg,VitB12_Cobalamine_µgg,FA_Palmitate_mgg,FA_Palmitoleate_mgg,FA_Oleate_mgg,FA_Linoleate_mgg,FA_Stearate_mgg,Phenols_mgGAg,Antioxydants_mgTRg,Flavonoids_mgQEg
P1,Goldenrod,Solidago spp.,Wildflower,Asteraceae,>5,2019,Canada,Roxton Falls,August-September,Honeybee,18,3.3,4.28,30.0,11.1,12.1,37.1,295,34.7,27.1,1374,2013,7.46,972,51.3,15.0,nd,41.7,10.3,7.77,17.8,12.2,6.05,14.3,139,153.3,11.2,1.34,3.08,7.15,nd,9.83,2.27,8.67,4.581353432738,4.36,7.25872521710634
P2,Red clover,Trifolium pratense,Wildflower,Fabaceae,>5,2021,Canada,Roxton Falls,July ,Honeybee,19,6.17,4.68,10.7,4.17,17.6,38.5,746,49.2,91.7,1278,5355,24.5,2214,22.5,9.89,nd,10.9,0.98,5.39,0.33,10.2,2.12,25.9,88.2,114.1,20.7,0.39,nd,6.04,nd,7.4,15.5,3.34,3.44405269994433,9.36,7.45964000742253
P3,Pussy Willow 1,Salix spp.,Trees-Bushes,Salicaceae ,>5,2021,Canada,Roxton Falls,April ,Honeybee,16.2,4.3,6.45,4.26,4.26,16.0,39.8,1023,72.4,58.8,1895,7296,27.6,2338,33.6,5.19,1.15,13.1,19.3,905,nd,6.06,0.74,24.9,23.3,48.2,12.2,0.86,nd,0.59,nd,0.15,0.47,0.21,9.72989722666942,11.0,22.992304911429
P4,Pussy Willow 2,Salix spp.,Trees-Bushes,Salicaceae ,>5,2022,Canada,Roxton Falls,April ,Honeybee,16.2,4.3,5.41,13.0,4.26,17.1,43.4,1028,93.7,132,1740,6745,23.0,2153,23.1,4.93,1.23,11.5,82.6,134,nd,6.8,1.82,18.9,42.6,61.5,10.7,0.46,nd,1.63,nd,1.21,1.02,1.18,7.54563894523326,11.9,18.0978138381789
P5,Dandelion,Taraxacum officinale,Wildflower,Asteraceae,>5,2021,Canada,Roxton Falls,May,Honeybee,17,8.6,5.70,19.8,9.8,12.4,43.6,133,28.0,21.8,1579,1386,3.32,559,83.8,4.28,nd,85.0,5.69,27.1,nd,19.9,0.73,4.21,9.14,13.35,3.7,2.69,nd,0.41,nd,0.1,0.57,0.06,5.78696343402226,4.63,22.6020137784844
P6,Sugar maple,Acer saccharum,Trees-Bushes,Sapindaceae ,>5,2021,Canada,Roxton Falls,April ,Honeybee,14.5,8.51,6.05,22.8,4.45,19.5,45.0,961,50.7,54.8,922,5333,45.1,1787,27.1,13.3,nd,20.1,6.89,150,nd,6.29,1.17,4.54,14.6,19.14,3.65,0.58,nd,5.42,nd,3.23,0.7,3.82,7.76069518716577,14.5,14.5889037433155
P7,Wild black berry,Rubus spp.,Trees-Bushes,Rosaceae ,>5,2021,Canada,Roxton Falls,June,Honeybee,15.5,10.2,5.91,17.9,5.23,18.9,38.1,897,51.4,89.8,1538,4467,429,1681,33.4,6.68,6.74,16.2,12.0,53.1,nd,8.45,1.67,7.02,52.7,59.72,6.69,0.23,nd,19.2,nd,12.3,5.93,54.2,5.18791895759584,6.51,6.82383068464262
P8,Organic corn,Zea mays,Food,Poaceae,3,2021,Canada,Roxton Falls,August,Honeybee,9.23,10.2,4.75,21.2,7.53,14.8,34.5,716,98.1,30.9,785,3756,14.7,1622,23.2,4.39,nd,20.4,8.11,48.6,nd,9.75,8.09,16.0,23.2,39.2,7.86,0.38,nd,3.75,nd,2.6,1.11,10.5,1.59392789373814,2.48,3.45351043643264
P9,Non-organic corn,Zea mays,Food,Poaceae,3,2021,Canada,Roxton Falls,July-August,Honeybee,24.0,5.26,4.44,16.6,5.00,11.5,36.4,731,67.0,22.2,480,3515,13.1,1418,24.5,2.13,nd,10.2,1.13,25.6,1.91,7.21,8.49,15.0,27.8,42.8,7.49,nd,nd,0.41,nd,1.06,2.52,0.38,0.603670039444349,2.48,1.74927113702624
P10,Orange jewelweed,Impatiens capensis,Wildflower,Balsaminaceae ,1,2019,Canada,Roxton Falls,Summer ,Honeybee,NA*,NA*,5.59,23.7,5.00,16.5,47.9,849,43.2,56.7,1266,5200,13.3,1843,37.6,11.2,nd,10.3,nd,7.44,nd,4.95,13.3,30.1,127,157.1,14.5,0.3,nd,1.92,nd,4.22,10.4,1.54,3.40425531914894,12.9,3.49246081411288
P11,Staghorn sumac,Rhus typhina,Trees-Bushes,Anacardiaceae ,>5,2021,Canada,Roxton Falls,June,Honeybee,14.7,7.07,6.30,19.1,4.26,14.9,49.7,2087,37.5,64.8,1388,6063,20.1,2081,21.8,11.4,0.16,9.09,3.63,112,nd,0.6,2.23,4.99,14.1,19.09,4.72,0.43,nd,0.41,nd,0.11,0.42,0.22,4.36154949784792,9.32,12.9211773401156
P12,Canadian hawthorn,Crataegus canadensis,Trees-Bushes,Rosaceae ,>5,2021,Canada,Roxton Falls,May,Honeybee,14.8,3.67,6.69,10.5,8.61,16.7,40.0,888,38.0,53.6,1190,4573,25.0,2124,42.5,6.56,4.38,31.1,16.9,557,1.21,0.76,0.68,25.0,7.16,32.16,14.4,0.84,nd,3.54,nd,1.66,1.33,0.53,4.60268317853457,4.11,2.86377708978328
P13,Commercial mix 1,Mix dominated by Asteraceae,Wildflower,Mix - Asteraceae,>5,2021,Canada,Plant Product,April-May,Honeybee,14.1,4.31,4.12,11.5,9.2,19.1,45.5,416,37.0,35.8,1731,2607,7.49,990,33.3,8.96,nd,47.0,13.9,1.19,13.6,10.5,8.31,32.8,73.4,106.2,9.9,1.4,5.46,0.77,nd,0.51,0.92,1.08,2.41159220286355,1.69,6.14973262032085
P14,Commercial mix 2,Mix flowers,Wildflower,Mix,>5,2021,Canada,Plant Product,June,Honeybee,14.6,2.27,4.37,18.5,5.5,16.5,38.5,939,40.9,74.5,1443,4681,43.4,1757,37.3,7.33,0.99,25.3,15.3,3.75,nd,8.04,3.74,16.4,55.3,71.7,12.6,1.78,nd,0.55,nd,0.37,0.74,0.78,4.08705189632281,8.02,10.656352825723
P15,Knapweed,Centaurea spp.,Wildflower,Asteraceae,4.53,2022,Canada,Roxton Falls,July,Honeybee,15.2,1.28,5.43,8.67,13.0,20.4,43.8,437,44.7,26.7,1763,3142,7.59,965,33.0,20.0,nd,61.0,3.25,18.4,nd,16.2,0.63,6.37,10.5,16.87,9.07,nd,nd,2.39,nd,0.98,3.25,3.57,1.09306409130817,2.29,2.22783143107989
P16,Buckwheat,Fagopyrum esculentum,Food,Polygonaceae ,4,2022,Canada,Roxton Falls,July,Honeybee,17.8,2.70,5.44,14.2,2.35,14.3,33.2,716,46.6,53.6,1567,5587,289,2287,50.1,4.15,1.85,60.5,8.29,9.93,1.19,11.8,4.99,12.7,56.1,68.8,10,0.63,nd,1.14,nd,0.66,0.34,3.15,0.455407969639469,1.06,2.1707779886148
P17,Red maple 1,Acer rubrum,Trees-Bushes,Sapindaceae ,>5,2021,Canada,Roxton Falls,April ,Honeybee,13.8,6.00,6.25,14.6,3.15,17.5,42.7,3864,22.4,27.4,2046,6726,2.97,1741,32.1,nd,1.77,28.9,9.79,312,nd,22.1,1.54,2.84,34.6,37.44,1.7,0.12,nd,2.4,nd,2.55,0.58,1.21,4.50678733031674,12.0,20.6561085972851
P18,Red maple 2,Acer rubrum,Trees-Bushes,Sapindaceae ,>5,2022,Canada,Roxton Falls,May,Honeybee,15.0,7.29,5.23,18.6,4.11,20.2,34.9,626,49.4,100,1492,5345,193,1953,11.3,15.2,1.83,19.9,42.7,27.5,nd,19.8,1.23,5.5,47.6,53.1,3.54,0.12,nd,7.61,nd,2.35,2.58,0.34,4.53510436432637,16.2,17.2833649588868
P19,Horse chestnut,Aesculus hippocastanum,Trees-Bushes,Sapindaceae ,0.2,2021,Canada,Roxton Falls,May,Honeybee,NA*,NA*,5.93,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,549,nd,9.17,1.47,10.2,47.8,58.0,7.36,0.56,nd,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**
P20,Poppy,Papaver spp.,Wildflower,Papaveraceae ,0.1,2021,Canada,Roxton Falls,June,Honeybee,NA*,NA*,5.87,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**,197,nd,16.2,1.54,8.92,65.8,74.72,4.25,0.48,nd,NA**,NA**,NA**,NA**,NA**,NA**,NA**,NA**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,